gpuName,G3Dmark,G2Dmark,price,TDP,testDate,category
GeForce RTX 3080 Ti,26887,1031,1199.99,350.0,2021,Desktop
GeForce RTX 3090,26395,999,1749.99,350.0,2020,Desktop
Radeon RX 6900 XT,25458,1102,1120.31,300.0,2020,Desktop
GeForce RTX 3080,24853,1003,999.0,320.0,2020,Desktop
GeForce RTX 3070 Ti,23367,1003,749.99,290.0,2021,Desktop
Radeon RX 6800 XT,23364,1078,859.0,300.0,2020,Desktop
RTX A5000,22867,984,2631.2,230.0,2021,Workstation
RTX A6000,22122,832,4999.99,300.0,2021,Workstation
GeForce RTX 3070,22093,969,719.99,220.0,2020,Desktop
GeForce RTX 2080 Ti,21796,940,998.59,250.0,2018,Desktop
Radeon RX 6800,20667,1030,758.99,250.0,2020,Desktop
GeForce RTX 3060 Ti,20206,961,599.99,200.0,2020,Desktop
TITAN RTX,20169,844,2794.99,280.0,2018,Workstation
Quadro RTX 6000,19692,837,6300.0,295.0,2018,Workstation
GeForce RTX 2080 SUPER,19519,934,683.99,250.0,2019,Desktop
Quadro RTX 8000,19126,801,4741.49,260.0,2019,Workstation
Radeon RX 6700 XT,18993,1014,529.99,230.0,2021,Desktop
RTX A4000,18988,938,1233.98,140.0,2021,Workstation
GeForce RTX 2080,18732,917,633.03,250.0,2018,Desktop
GeForce RTX 2070 SUPER,18168,896,613.8,215.0,2019,Desktop
Quadro GV100,17675,841,8999.0,250.0,2018,Workstation
TITAN V CEO Edition,16988,1086,743.3655555555556,250.0,2018,Desktop
GeForce RTX 3060,16958,951,329.0,170.0,2021,Desktop
Radeon RX 5700 XT,16892,955,694.94,225.0,2019,Desktop
Radeon VII,16767,788,1899.95,300.0,2019,Desktop
Radeon RX 5700 XT 50th Anniversary,16650,965,743.3655555555556,235.0,2019,Desktop
GeForce RTX 3080 Laptop GPU,16522,662,691.2166666666667,115.0,2021,Mobile
GeForce RTX 2060 SUPER,16514,881,528.89,175.0,2019,Desktop
Quadro RTX 5000,16260,763,3341.3309999999997,230.0,2019,Workstation
GeForce RTX 2070,16079,833,627.44,175.0,2018,Desktop
Radeon RX 6600 XT,15853,1003,399.99,160.0,2021,Desktop
Quadro RTX 4000,15515,904,899.0,160.0,2019,Workstation
GeForce RTX 3070 Laptop GPU,15231,651,691.2166666666667,115.0,2021,Mobile
GeForce RTX 2080 (Mobile),15107,812,691.2166666666667,150.0,2019,Mobile
Radeon Pro W5700,15085,908,1649.99,205.0,2020,Desktop
Radeon RX 5700,14729,926,899.95,180.0,2019,Desktop
GeForce RTX 2070 Super with Max-Q Design,14261,685,691.2166666666667,80.0,2020,Mobile
Radeon Pro WX 8200,14110,824,1599.39,230.0,2018,Desktop
GeForce RTX 2080 Super with Max-Q Design,14020,622,691.2166666666667,80.0,2020,Mobile
GeForce RTX 2060,13953,752,389.99,160.0,2019,Desktop
Radeon RX 5600 XT,13836,914,545.0,150.0,2020,Desktop
GeForce RTX 2080 with Max-Q Design,13681,574,2099.99,90.0,2019,Mobile
Quadro RTX 4000 with Max-Q Design,13622,600,691.2166666666667,80.0,2019,Mobile
